AppID,Name,About the game,Release date,Header image,Website,Genres,Tags
1071100,Boom 3D,"Boom 3D is a pro audio enhancement app that has been designed to play all your media content with incredible 3D effects on ANY headphones /speakers, from any player, any media, any streaming services. Specially designed for gaming, our multi-channel 3D surround brings unmatched clarity to every game interaction. From the muted footsteps of your opponent to the roar of a dragon, Boom 3D renders the detail in all its crispness and clarity, leading you to victory! With Boom, 3D gaming becomes a truly immersive experience.","Jun 19, 2019",https://cdn.akamai.steamstatic.com/steam/apps/1071100/header.jpg?t=1604570134,,"Audio Production,Utilities","Utilities,Audio Production,VR,3D"
1055010,Energy Engine PC Live Wallpaper,"Energy Engine PC Live Wallpaper Manage the energy of your wallpaper. WINDOWS 10 ONLY ! Perfect for desktop PC. Custom PC? Custom your wallpaper with our engine, Our new project Energy Engine is giving many options to release the energy of your wallpaper. Many settings will allow you to create your own unique wallpaper. Three categories contain ready-made presets that can be modified. Many options will allow you to adjust the wallpaper to your taste and PC set. Main features: Interactive simulation - molecules that react to the mouse movement and clicking. Ready presets - presets divided into 3 categories. More presets and the updates. Many editing options - you can change almost every object. Clock - adjust your watch to the screen. Own text - add your own text to the wallpaper. Game Mode - will pause wallpaper when you need 100% power for your games. Optimization - reduced equipment requirements. Optimized code created for mobile devices. Multi-Language - the menu includes 10 languages. and more, small little features. !Pinned. Small window problem? Please, disable 'Contrast Mode' in Windows personalization settings. Performance: Productivity is our priority. The wallpaper has been adjusted to the best performance. This project has many options for the number of particles that affect performance. Everyone will match something for themselves. The project was created for desktops with a dedicated graphics card. Multi, Wide, 4K screen users: The wallpaper will run at a maximum resolution. Higher resolution can have a slight effect on your computer's performance. However, I have a 4K screen and the performance drop is insignificant. Wallpaper support multi-screen and include FOV camera sliders, so you set everything for even ultra widescreen setup. Game Mode Game Mode will pause the wallpaper, giving you 100% power to play games or for demanding renderings. In the background will be a menu from which you can bring back this wallpaper on the screen. Please check out our 'Community HUB' for more details. Support We are a small team that wants to create interactive applications that diversify known Windows wallpapers. We try to make each project unique, introducing something new on the screen. Each support is valuable for us. Ratings and comments help move forward and create even better interactive wallpapers. Energy Engine PC Live Wallpaper is a project that was created thanks to your help. Thank you very much. Every help is very important for us. Thank you! If you notice any problems, please check our 'Community HUB' or contact directly. I'm almost 25h to your disposition ;) Thanks for your support! 3DM Team","May 10, 2019",https://cdn.akamai.steamstatic.com/steam/apps/1055010/header.jpg?t=1644363494,http://3dmgroup.co.uk/,"Design & Illustration,Utilities","Design & Illustration,Utilities,Software,Simulation,Atmospheric,Beautiful,Experimental"
707590,Defense Clicker,"Defense Clicker is an clicker game which will be soon F2P, with an tower defense theme and a few twists which make it very unique. You have to build an defense line with towers and upgrade them to stay alive as long as possible. when you die the map resets but you get a few special points depending on how long you survived. With this points you can upgrade the power of your towers and many other things to stay longer alive. After a specific count of kills you can evolve to get stronger and beat more waves. Features: - Build towers - Upgrade towers - Upgrade several skills - several gamemodes - Weather System - Day Night System - Monster Stat Changes depending on Day/Night and Weather System - Achievements - Heroes - Pets - many more BUILD towers: - Build several towers to defend your city against the monsters which want to destroy it Upgrade towers: - Upgrade your towers to make more damage, get higher possible towerlevels and stay longer alive Upgrade several skills: - reset your game status to get Prime Points to upgrade your baselive, towerbasdamage, gold income and several other things. Several gamemodes: - Normal mode and rage mode, fusable monsterlife and changable monster spawn difficulty Weather system: - randomly it starts to snow or rain ingame which changes at some montsers the hp, speed..... Day-/Night system: - The day night system changes slightly the darkness of the game Reset and Evolution sytem: - Reset your game to get the locked Prime Points with which you can earn Prime points to increase some reset resistant skills. - If progress starts to get to slow make an evolutuion and reset the whole game (except evo skills) and buy evo to get much stronger. Highscores, Achievements and more: - Get Achievements for playing the game and beat the highscores of the other players","Oct 31, 2017",https://cdn.akamai.steamstatic.com/steam/apps/707590/header.jpg?t=1553883631,,"Casual,Strategy,Early Access","Casual,Strategy,Early Access,Tower Defense,Clicker"
404580,Relive,"Relive is a game about cardiopulmonary resuscitation, but it is also an adventure game. The main purpose is to increase the awareness about this topic and push people, especially teenagers and young adults, to take a CPR classes and be prepared to intervene in case of need. While the topic is serious, we tried to create a fun and entertaining game, a SCI-FI opera where players can enjoy their gaming experience while the CPR concept slips through the game. To move forward in the story and complete successfully Relive, you will need to learn the bases of CPR, in an interesting and non-invasive way. To keep the CPR skills razor sharp a tournament mode encourages group play. Family, schools and friends will be able to organize fast and fun CPR challenges and see who will be able to beat the best score. Why CPR? In Europe every day 1.000 people die of cardiac arrest. If immediate CPR is performed, the chances of survival remarkably increase. In more than 70% of instances, cardiac arrest is witnessed and CPR could be initiated by bystanders. As of today, in Europe only in 15% of cases witnesses perform CPR (European average). Taking a CPR class is the best way to rise this 15% of bystanders and save lives with no additional risk. Is Relive really free? Yes, Relive is completely free. The development of this game was made possible thanks to Future of Health Award, which purpose is to “bring serious gaming and healthcare together in order to contribute to more advanced healthcare across Europe“. Project Coordinator Federico Semeraro, Italian Resuscitation Council, Bologna Scientific Supervision - Italian Resuscitation Council, Bologna Erga Cerchiari, Past-President Giuseppe Ristagno, Scientific Committee Tracking engine - Istituto di Tecnologie della Comunicazione, dell’Informazione e della Percezione, Scuola Superiore Sant’Anna, Pisa Antonio Frisoli, Associate Professor Claudio Loconsole, Post-Doc Research Fellow Fabio Stroppa, Scholarship Holder Nicola Mastronicola, Scholarship Holder Game developement - Studio Evil Dutch translation - Kirsten Eijkelenboom Relive team is the winner of the Future of Health Award 2012. The award is a joint initiative of CZ healthcare insurance and Games for Health Europe","Oct 15, 2015",https://cdn.akamai.steamstatic.com/steam/apps/404580/header.jpg?t=1478100911,http://relivegame.com/,"Adventure,Free to Play,Indie","Free to Play,Indie,Adventure"
517910,Sisyphus Reborn,"Sisyphus Reborn is a short atmospheric existential adventure game. Light on puzzles and heavy on atmosphere, the game focuses on exploring philosophical ideas in a short form context. You wake up in a world where everyone digs forever and no one dies. You will never know why or how you came to be there, but now that you are... How do you find meaning in a meaningless world? Features: - Simple Point &amp; Click interface - Approximately 30 minutes game length - Unique low-res hand drawn art style - Atmospheric soundtrack - Free!","Sep 5, 2016",https://cdn.akamai.steamstatic.com/steam/apps/517910/header.jpg?t=1611526511,http://www.myshkin.net/sisyphus-reborn,Adventure,"Adventure,Free to Play,Atmospheric,Philosophical,Indie,Short,Singleplayer,Point & Click,2D,Great Soundtrack,Dark"
1283970,YoloMouse,"Use YoloMouse to change those obscure game cursors. Never lose your cursor in a heated battle again! Great for MOBA, MMO, ActionRPG, and any mouse based games. Features Includes 4 basic cursors 3 new 3D overlay cursors Many colors per cursor, including inverse color. Resizable Add your own cursors! Also supports desktop apps Code signed for anticheat whitelisting Multimonitor support Near zero impact on performance 提供中英文双语界面 Instructions Locate a game cursor you wish to change and hit CTRL ALT C to open a cursor selection UI. Use this to change the cursor, size, and color. Detailed docs:","May 1, 2020",https://cdn.akamai.steamstatic.com/steam/apps/1283970/header.jpg?t=1655489584,https://dragonrisegames.com/yolomouse,"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities","Utilities,Design & Illustration,Animation & Modeling,Education,Software Training,Mouse only,Software,Stylized,Colorful,Physics,3D,Cute,Beautiful,Experience,MMORPG,Action RPG,MOBA,RTS"
610190,WARRIORS ALL-STARS,"A battle of heroes where everyone is the lead! The very first all-star title of Koei Tecmo! The rousing action essential to 'Warriors' series is powered up with new elements, such as open scenarios and multiple endings! Impressive assembly of 30 characters backed up by the original voice actors, and action that combines both familiar traits of the original series and new exiting elements like “Musou Rush”. Furthermore, each character and their progression are drawn vividly, through special strengths and effects, known as “Hero Skills,” and the ways story and interactions change based on the battles they fight. Enjoy the epic story of collaboration of heroes that brakes the borders of diverse range of worlds!","Aug 29, 2017",https://cdn.akamai.steamstatic.com/steam/apps/610190/header.jpg?t=1657688165,http://www.koeitecmoamerica.com/warriorsallstars/,Action,"Action,Musou,Hack and Slash,Anime,Singleplayer"
1369370,Combat Mission Shock Force 2,"The latest title in the famous Combat Mission franchise of wargames, now on Steam. Shock Force 2 brings you to a hypothetical conflict in Syria between the forces of NATO and the Syrian Army. Take command of US Stryker Brigade Combat Teams (SBCT) and Heavy Brigade Combat Teams (HBCT) to fight against Syrian Army Infantry, Mechanized and Armored units in an arid setting. Experience the full range of modern threats to conventional military forces, including irregular combat forces, terrorists, spies, suicide bombers, IED's and other deadly tools employed in the asymmetric warfare of the modern day. Play the Task Force Thunder campaign, more than a dozen carefully crafted battles, or unlimited Quick Battles. HOW THE GAME IS PLAYED Players are assigned detailed missions to accomplish based on a richly diverse set of Objectives. Missions can be played in either Real Time or our WeGo hybrid turn based mode introduced with the first Combat Mission game 20 years ago. WeGo allows each player to plan out 60 seconds of combat and then watch as both sides' commands are carried out simultaneously. The WeGo system also allows for re-watching turn action and playing against another player by email (PBEM) or 'hotseat' on a single computer. RealTime and WeGo head to head play can also use TCP/IP on a LAN or over the Internet. Massive replayability comes from a unique Quick Battle system which allows players to purchase their own custom force and fight over the battlefield of their choice from a wide array of different maps. A powerful map and scenario Editor allows you to create battles or campaigns for yourself and others. HOW UNITS ARE PORTRAYED All units are portrayed one for one in 1:1 scale in high resolution polygon 3D models with articulated suspensions, animated hatches, and other features that make them feel real. Unlike other 3D tactical wargames, Combat Mission combines real world physics with a thoroughly researched portrayal of forces, right down to what the individual soldiers cary into battle. Advanced vehicle damage modeling allows for tracking of each sub-system, including the most realistic ballistics, armor and post-armor effects available in any game. Unlike other games that claim this level of realism, Combat Mission actually delivers it across the whole spectrum of warfare, including the interaction of weather, lighting, and terrain on how units and their weapons function.  Perhaps the most important feature of Combat Mission is its detailed and innovative portrayal of 'soft factors'. Experience, Morale, Leadership, and other elements operate at the individual soldier level and collectively transform how units behave. As important as these battlefield concerns are, most other games give them short shrift or don't bother covering them at all. In the real world having the best weapons means nothing if the soldiers crewing them are balled up in fear or are too distracted to see what's going on around them. HOW THINGS WORK BEHIND THE SCENES Weapon penetration values and armor protection are based on extremely detailed real life data and scientific algorithms that are specific to exactly what is seen in the game. There are no arbitrary values (hitpoints) or precalculated resolution tables (CRTs) that so often produce frustratingly inaccurate results. The advanced Tactical AI (TacAI) models the psychological state and inherent qualities of every soldier on the battlefield, allowing for genuine battlefield behavior from every soldier as if they were their own free thinking individual.  The simulation of independent soldiers is important in another regard because it allows Combat Mission to have what we call Relative Spotting. This is a system which ensures that each soldier has their own unique view of the battlefield, avoiding the 'Borg' issue seen in many games where once one person has spotted an enemy, automatically everyone else has spotted it and can fire on it as well. Any wargamer worth his weight in gunpowder knows that Fog of War is one of the most important battlefield elements. An unprecedented simulation of Command and Control (C2) combines with Relative Spotting to realistically portray the flow of information and responsibility between soldiers as they share information with each other on what they can see on the battlefield  All of these elements, and many more, seamlessly fit together to create the most realistic battlefield experience out there. The realism level isn't pushed in your face with lots of data and obscure references. Instead players experience all of this with the 3D graphical environment. Combat Mission's visceral game environment is what attracts players, the richness of the gameplay is what keeps them playing for years on end. Features: - Tactical warfare at battalion and below scale in a true 3D environment - Command individual vehicles, teams, and squads - Expansive simulation of 'soft factors' such as Morale, Experience, and Leadership - Innovative systems portraying Fog of War, Spotting, Line of Sight, Command &amp; Control, and Objectives - Unmatched realistic physics, ballistics, and battlefield effects - Fight in a wide range of weather and lighting conditions, all of which realistically impact fighting abilities - Unique hybrid system for RealTime or WeGo (turn based) play - Full featured Editor for maps, scenarios, and campaigns - Quick Battle system sets up deliberate or randomized battles based on player specifications - Single player and head to head play, including Play By Email (PBEM) - Detailed and realistic combat formation for the United States Army and Syrian Army - Two types of Syrian Unconventional Forces, Spies, IEDs, and VIEDs - One large campaign, a small training campaign, 20 standalone scenarios, and numerous Quick Battle maps. - On map mortars, mortar vehicles, drones, anti-aircraft fire, and other modern warfare features - Expanded arid combat environment, now including waterways, bridges, and other new terrain - Intricately detailed and highly realistic combat equipment for the United States Army and Syrian Army, including 41 vehicles and 35 assorted small arms and crew weapons. - Expansive maps with 1m x 1m resolution allow for short and long range action across complex terrain - Buildings have explicitly simulated doors, windows, and floors - Weather and ground condition modelling systems allow for everything from dry sunny days to muddy stormy nights, with visibility and mobility dynamically affected by the conditions. Some Combat Mission games include the full range of Winter, Spring, and Fall weather as well - Line of Sight and Line of Fire are separately calculated, which means sometimes you can see something you can't shoot and sometimes you can shoot at things you can't see - Soldier posture (prone, kneeling, standing) affects everything including spotting, cover, and ability to engage enemies - Line of Sight is calculated from the 'eyeballs' or 'sensor' point, not a generic value - Much of Combat Mission's realism comes from correctly simulating important low level details, such as crew responsibilities, vehicle vision blocks, high tech sensors, etc. A 3 man tank with a few cloudy vision blocks doesn't have to be artificially made inferior to a 5 man tank with a commander's cupola and separate vision blocks for the gunner and loader because in Combat Mission it happens naturally - The way a nation organizes its units has a huge impact on how they perform in combat, therefore great pains are taken to accurately portray formations as they are in real life for a particular point in time - Lighting affects combat in no small way in real life as well as in the game. The correct lighting conditions are simulated based on time of day, time of year, and weather","Aug 31, 2020",https://cdn.akamai.steamstatic.com/steam/apps/1369370/header.jpg?t=1615392986,https://www.slitherine.com/steam,"Simulation,Strategy","Simulation,Strategy,RTS,Wargame,Turn-Based Strategy,Turn-Based Tactics,3D,Military,Alternate History,Historical,Tactical,Tanks,War,PvP,Artificial Intelligence,Turn-Based Combat,Multiplayer,Singleplayer,Local Multiplayer,Combat"
296210,Brigade E5: New Jagged Union,"Brigade E5: New Jagged Union is a tactical game that places gamers in the small tropical nation of Palinero on the verge of a civil war. The mission: hire a band of mercenaries and take control of the deteriorating situation before the country finds itself in complete ruin. The story offers players an opportunity to experience three different viewpoints of the conflict or work out the political structure to achieve their own goals in the global domination. Game play for the title is based on an innovative combat system called SPMÂ® (Smart Pause Mode) that successfully blends together real-time and turn-based games. Unlike standard turn-based systems, Brigade E5: New Jagged Union does not use 'action points' while in turn-based mode, but takes into consideration the character skills and attributes resulting in more natural and diverse behavior of units. Furthermore players can issue a chain of commands that will be carried out automatically. The choice of weapons will satisfy even highly demanding fans, with more than 100 accurately modeled firearms, varied ammunition types, grenades, body armor and special equipment. Players will be also able to modify and upgrade weapons by adding various gadgets, sniper scopes, mini grenade launchers, bayonets, etc. The game provides extensive LAN and Internet Multiplayer modes, with CTF, Deathmatch and Fortress dynamic gameplay. SPM® is a brand new feature for the squad combat strategy genre. It gives all players a chance to command their soldiers at the same time, using even an enemy's pause.","Apr 30, 2014",https://cdn.akamai.steamstatic.com/steam/apps/296210/header.jpg?t=1656589575,,"Simulation,Strategy","Strategy,Simulation,Tactical,Singleplayer"
1183720,Holoswitch,"*** READ BEFORE BUYING *** Holoswitch supports use on Windows 10 and Windows 11 iPhone users require an additional Bluetooth dongle (4.0 or higher) to receive notifications The mobile companion app requires a minimum of iOS 12 or Android 9 Holoswitch is a Virtual Reality smartwatch that connects to your iPhone or Android phone. It helps you to stay connected to the real world during your VR adventures by forwarding phone notifications and by turning your phone into a surveillance camera. Say goodbye to taking off your headset to check for messages or your surrounding! Augmented smartwatch overlay that can be attached to the left or right hand Easy-to-use touch interface that does not interfere with the VR experience Local time and date display Forwarding of Android and iOS notifications One-to-one mirroring of notifications Optional free-floating notification popup for usage without controllers Notification filtering to avoid unnecessary distractions Full emoji support in notifications Dismissing phone notifications from within VR Super easy VR video and snapshot capture Gallery including video and snapshot viewer Gallery syncing with the phone. The content will be stored on your PC and can be fully synchronized with the companion's app Streaming of the phone camera to VR. As a free-floating overlay or on the wrist watch to keep an eye on the environment *** The app does not connect *** If you are facing difficulties in getting the app to run and connect, please check our FAQ ) or join our Discord server . Alternatively, you can use the Steam community or send a mail to support@holoswitch.com . We are happy to help you :) *** Something is not working correctly *** We are always striving to improve the usability, reliability, and stability of Holoswitch. If you’re facing any issues, bugs, or problems with setting up the app, we would greatly appreciate it if tell us about it. We're constantly fixing bugs to avoid these issues and giving support and guidance so please be fair and contact us. Thx :) Issue tracker","Feb 16, 2021",https://cdn.akamai.steamstatic.com/steam/apps/1183720/header.jpg?t=1655807439,https://www.holoswitch.com,Utilities,"Utilities,VR,Casual,Video Production,Audio Production,Web Publishing,Relaxing,Singleplayer,Software,VR Only"
